id,title,category,prepTime,servings,ingredientsList,instructionsList
1,"Babka z olejem Agnieszki","Ciasta",40,6,"3 jajka; 1 szklanka mąki; 1 łyżeczka proszku do pieczenia; 3/4 szklanki cukru; 1 łyżeczka cukru waniliowego; 10 łyżek oleju","Wymieszać składniki suche: mąkę, cukier, cukier waniliowy i proszek do pieczenia.; Dodać jajka i olej, wymieszać dokładnie.; Przełożyć ciasto do formy.; Piec w temperaturze 180°C przez około 40 minut."
2,"Babka z margaryną","Ciasta",60,8,"4 jajka; 1 szklanka cukru; 1 opakowanie cukru waniliowego; 1.5 szklanki mąki (w tym 1 łyżka mąki ziemniaczanej); 1 łyżeczka proszku do pieczenia; 1 kostka margaryny (roztopionej)","Margarynę roztopić i ostudzić.; Jajka ubić z cukrem i cukrem waniliowym.; Dodać mąkę, proszek do pieczenia i margarynę, wymieszać.; Przełożyć do formy.; Piec w temperaturze 180°C przez około 50-60 minut."
3,"Biszkopty","Ciastka",30,24,"4 jajka; 1 szklanka mąki; 1 łyżeczka proszku do pieczenia; 3/4 szklanki cukru; 1 łyżka wody; 2 łyżki kakao","Białka ubić, dodać cukier.; Dodać żółtka, mąkę i proszek do pieczenia.; Wlać wodę, delikatnie wymieszać.; Za pomocą rękawa cukierniczego wyłożyć ciasto na blachę.; Piec w temperaturze 180°C przez około 15 minut."
4,"Ciasto miodowe","Ciasta",60,8,"3 szklanki mąki; 3/4 szklanki cukru pudru; 3 duże łyżki miodu; 2 jajka; 1 łyżeczka sody; 10 dkg masła","Mąkę i cukier puder wsypać do miski; Dodać miód i masło, wyrobić; Dodać jajka i sodę, wymieszać dokładnie; Piec w temperaturze 180°C około 40-45 minut; Wierzch ciasta można polać polewą lub posypać cukrem pudrem."
5,"Ciasto z dżemem","Ciasta",50,8,"2 szklanki cukru; 4 żółtka; 2 łyżki dżemu; 2 łyżki mleka; 2 szklanki mąki; 2 łyżeczki proszku do pieczenia","Utrzeć żółtka z cukrem; Dodać dżem i mleko, wymieszać; Dodać mąkę z proszkiem do pieczenia, wyrobić ciasto; Przełożyć do formy; Piec w temperaturze 180°C przez około 40 minut."
6,"Ciasto kruche","Ciasta",40,8,"3 szklanki mąki; proszek do pieczenia na 1/2 kg mąki; 1/2 szklanki kwaśnej śmietany; 1 kostka masła; 3 łyżki cukru pudru; 6 żółtek","Mąkę wymieszać z proszkiem do pieczenia; Dodać pokrojone masło, cukier puder i żółtka; Dodać śmietanę i zagnieść ciasto; Rozwałkować, wyłożyć do formy; Piec w temperaturze 180°C przez około 25-30 minut."
7,"Ciasto drożdżowe dla zapracowanych","Ciasta",50,8,"1 jajko; 25 dkg cukru; cukier waniliowy; kostka masła lub margaryny; 5 dkg drożdży; 60 dkg mąki; szklanka mleka; 5 dkg rodzynek","Mąkę, drożdże i tłuszcz dodać do miski i wlać mleko; Do mąki z tłuszczem dodać jajo, drożdże, cukier waniliowy, resztę mleka i specjalne rodzynki; Ciasto wymieszać i pozostawić w ciepłe miejsce do wyrośnięcia; Gdy wyrośnie, włożyć do piekarnika nagrzanego do temperatury 180°C; Piec 30-40 minut."
8,"Ciastka z sera I","Ciastka",40,24,"25 dkg margaryny (masła); biały ser; mąka; cukier; jajko","Margaryną, mąkę i ser połączyć; Lekko schłodzić i dogniatać; Następnie rozwałkować i cienko wykroić w krążki; Posypać cukrem i upiec na złoto."
9,"Ciastka z sera II","Ciastka",40,24,"25 dkg sera; mąka; masło; cukier","Przyprawy grubym cukrem; Ser, mąkę i masło wymieszać razem; Schłodzić, rozwałkować i wykroić ciastka; Posypać cukrem i upiec do zrumienienia."
10,"Dżem z czarnych porzeczek","Przetwory",60,4,"1.5 kg czarnych porzeczek; 1 do 1.10 kg cukru","Porzeczki umyć dokładnie i opłukać; Wsypać do emaliowanego garnka i ogrzewać; Gotować kilka minut, wsypać cukier i gotować jeszcze około 25 minut; Zebrać piankę tworzącą się na wierzchu naczynia; Wkładać do czystych słoików i gotowe."
